time,sentiment,social_score
2021-05-12,3.0,746648.0
2020-03-20,4.0,540086.0
2021-05-24,3.0,403736.0
2021-01-21,3.0,327435.0
2021-05-20,4.0,310832.0
2021-06-04,4.0,290790.0
2020-12-17,4.0,277769.0
2021-03-12,3.0,277371.0
2020-12-20,4.0,270371.0
2021-02-01,4.0,269460.0
2019-08-10,4.0,261536.0
2019-07-26,3.0,242078.0
2021-03-24,2.0,207476.0
2021-03-17,4.0,196898.0
2020-10-14,3.0,169782.0
2019-09-28,3.0,154983.0
2021-01-08,4.0,154601.0
2021-05-17,2.0,145830.0
2020-01-10,4.0,142453.0
2021-04-15,2.0,127109.0
2021-06-25,4.0,121627.0
2021-04-26,4.0,120383.0
2019-07-13,4.0,110019.0
2019-11-21,4.0,109747.0
2020-02-28,3.0,108830.0
2021-06-09,2.0,106134.0
2021-05-19,4.0,104244.0
2020-12-31,4.0,101016.0
2021-02-23,5.0,99340.0
2020-12-29,3.0,98089.0
2021-02-02,4.0,92400.0
2021-03-31,4.0,90059.0
2020-12-18,3.0,86581.0
2021-03-25,2.0,85293.0
2021-03-29,1.0,85170.0
2021-05-13,4.0,84657.0
2021-06-12,4.0,83131.0
2020-12-16,4.0,80799.0
2021-01-30,4.0,80779.0
2021-03-23,3.0,80126.0
2021-06-13,4.0,79116.0
2021-05-18,4.0,78324.0
2021-01-03,3.0,76675.0
2021-02-08,4.0,76051.0
2020-01-19,4.0,74970.0
2020-12-27,4.0,74820.0
2021-04-01,4.0,73005.0
2020-11-16,2.0,71468.0
2021-01-14,4.0,69617.0
2021-03-18,4.0,67951.0
2021-06-21,4.0,67132.0
2021-05-14,4.0,64568.0
2021-05-28,1.0,64329.0
2021-01-07,2.0,64160.0
2021-02-10,4.0,62361.0
2021-03-13,4.0,61459.0
2021-08-02,4.0,60408.0
2021-05-01,3.0,60038.0
2021-05-16,4.0,59438.0
2021-05-15,4.0,58279.0
2021-02-28,2.0,57364.0
2019-03-18,4.0,56080.0
2021-01-25,2.0,56012.0
2021-05-10,2.0,55636.0
2021-01-18,4.0,55295.0
2019-09-06,5.0,54289.0
2019-09-05,4.0,53541.0
2021-03-11,1.0,53448.0
2019-11-12,3.0,53372.0
2021-03-02,4.0,51744.0
2020-11-17,4.0,51588.0
2021-06-11,4.0,51445.0
